idea_id,focus_area,idea_type,title,idea,persona,surface,mechanic,target_outcome,revenue_potential,lead_quality_impact,effort,effort_inverse,confidence,composite_score,phase
C00031,chatbot_ux,playbook,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using fallback recovery to raise trial to paid.,founder,homepage_chat_widget,fallback_recovery,raise_trial_to_paid,71,46,61,39,59,56.55,P3
C00032,chatbot_ux,governance,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using fallback recovery to reduce cac.,founder,homepage_chat_widget,fallback_recovery,reduce_cac,81,62,92,8,75,60.75,P3
C00033,chatbot_ux,qa_guardrail,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using fallback recovery to reduce cac.,founder,homepage_chat_widget,fallback_recovery,reduce_cac,86,45,56,44,76,65.85,P3
C00034,chatbot_ux,feature,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using fallback recovery to improve ad ctr.,founder,homepage_chat_widget,fallback_recovery,improve_ad_ctr,91,40,73,27,79,63.65,P3
C00035,chatbot_ux,optimization,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using fallback recovery to lower cpc.,founder,homepage_chat_widget,fallback_recovery,lower_cpc,88,71,59,41,66,71.05,P2
C00036,chatbot_ux,assistive_ai,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using fallback recovery to lower cpc.,founder,homepage_chat_widget,fallback_recovery,lower_cpc,55,65,55,45,94,61.35,P3
C00037,chatbot_ux,workflow,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using fallback recovery to increase pipeline velocity.,founder,homepage_chat_widget,fallback_recovery,increase_pipeline_velocity,63,66,34,66,68,65.1,P3
C00038,chatbot_ux,feature,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using fallback recovery to faster experiment cycles.,founder,homepage_chat_widget,fallback_recovery,faster_experiment_cycles,73,73,80,20,72,62.25,P3
C00039,chatbot_ux,governance,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using fallback recovery to faster experiment cycles.,founder,homepage_chat_widget,fallback_recovery,faster_experiment_cycles,57,68,66,34,77,58.15,P3
C00040,chatbot_ux,integration,Chatbot Ux: Fallback Recovery for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using fallback recovery to higher arpu.,founder,homepage_chat_widget,fallback_recovery,higher_arpu,62,77,59,41,80,64.25,P3
C00041,chatbot_ux,playbook,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using tone adaptation to improve mql to sql.,founder,homepage_chat_widget,tone_adaptation,improve_mql_to_sql,85,70,62,38,96,73.5,P2
C00042,chatbot_ux,assistive_ai,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using tone adaptation to improve mql to sql.,founder,homepage_chat_widget,tone_adaptation,improve_mql_to_sql,73,58,60,40,88,64.9,P3
C00043,chatbot_ux,workflow,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using tone adaptation to raise trial to paid.,founder,homepage_chat_widget,tone_adaptation,raise_trial_to_paid,71,69,76,24,66,60.35,P3
C00044,chatbot_ux,qa_guardrail,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using tone adaptation to raise trial to paid.,founder,homepage_chat_widget,tone_adaptation,raise_trial_to_paid,49,66,61,39,65,53.65,P3
C00045,chatbot_ux,optimization,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using tone adaptation to reduce cac.,founder,homepage_chat_widget,tone_adaptation,reduce_cac,80,70,43,57,78,72.6,P2
C00046,chatbot_ux,assistive_ai,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using tone adaptation to reduce cac.,founder,homepage_chat_widget,tone_adaptation,reduce_cac,68,43,65,35,72,55.75,P3
C00047,chatbot_ux,automation,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using tone adaptation to improve ad ctr.,founder,homepage_chat_widget,tone_adaptation,improve_ad_ctr,61,69,65,35,66,58.55,P3
C00048,chatbot_ux,integration,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using tone adaptation to increase pipeline velocity.,founder,homepage_chat_widget,tone_adaptation,increase_pipeline_velocity,75,75,47,53,76,70.75,P2
C00049,chatbot_ux,optimization,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using tone adaptation to faster experiment cycles.,founder,homepage_chat_widget,tone_adaptation,faster_experiment_cycles,70,91,30,70,80,76.75,P2
C00050,chatbot_ux,workflow,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using tone adaptation to higher arpu.,founder,homepage_chat_widget,tone_adaptation,higher_arpu,66,61,87,13,72,55.05,P3
C00051,chatbot_ux,analytics,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using tone adaptation to higher arpu.,founder,homepage_chat_widget,tone_adaptation,higher_arpu,97,56,63,37,67,70.25,P2
C00052,chatbot_ux,qa_guardrail,Chatbot Ux: Tone Adaptation for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using tone adaptation to better upgrade conversion.,founder,homepage_chat_widget,tone_adaptation,better_upgrade_conversion,62,63,54,46,74,60.85,P3
C00053,chatbot_ux,analytics,Chatbot Ux: Routing Logic for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using routing logic to increase demo bookings.,founder,homepage_chat_widget,routing_logic,increase_demo_bookings,45,88,55,45,91,62.65,P3
C00054,chatbot_ux,integration,Chatbot Ux: Routing Logic for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using routing logic to raise trial to paid.,founder,homepage_chat_widget,routing_logic,raise_trial_to_paid,58,66,100,0,62,49.0,P3
C00055,chatbot_ux,analytics,Chatbot Ux: Routing Logic for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using routing logic to improve ad ctr.,founder,homepage_chat_widget,routing_logic,improve_ad_ctr,52,55,65,35,80,53.55,P3
C00056,chatbot_ux,analytics,Chatbot Ux: Routing Logic for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using routing logic to lower cpc.,founder,homepage_chat_widget,routing_logic,lower_cpc,85,59,34,66,67,72.0,P2
C00057,chatbot_ux,assistive_ai,Chatbot Ux: Routing Logic for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using routing logic to increase pipeline velocity.,founder,homepage_chat_widget,routing_logic,increase_pipeline_velocity,85,68,29,71,72,76.0,P2
C00058,chatbot_ux,automation,Chatbot Ux: Routing Logic for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using routing logic to improve data quality.,founder,homepage_chat_widget,routing_logic,improve_data_quality,87,90,66,34,75,75.35,P2
C00059,chatbot_ux,workflow,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using auto enrichment to improve mql to sql.,founder,homepage_chat_widget,auto_enrichment,improve_mql_to_sql,55,51,59,41,78,54.65,P3
C00060,chatbot_ux,automation,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using auto enrichment to raise trial to paid.,founder,homepage_chat_widget,auto_enrichment,raise_trial_to_paid,77,56,41,59,63,66.05,P2
C00061,chatbot_ux,optimization,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using auto enrichment to lower cpc.,founder,homepage_chat_widget,auto_enrichment,lower_cpc,56,70,23,77,68,65.5,P3
C00062,chatbot_ux,qa_guardrail,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using auto enrichment to lower cpc.,founder,homepage_chat_widget,auto_enrichment,lower_cpc,75,82,59,41,83,71.15,P2
C00063,chatbot_ux,analytics,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using auto enrichment to increase pipeline velocity.,founder,homepage_chat_widget,auto_enrichment,increase_pipeline_velocity,65,52,48,52,89,62.75,P3
C00064,chatbot_ux,analytics,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using auto enrichment to improve data quality.,founder,homepage_chat_widget,auto_enrichment,improve_data_quality,82,68,100,0,72,60.6,P3
C00065,chatbot_ux,feature,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using auto enrichment to faster experiment cycles.,founder,homepage_chat_widget,auto_enrichment,faster_experiment_cycles,77,66,55,45,97,70.85,P2
C00066,chatbot_ux,optimization,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using auto enrichment to higher arpu.,founder,homepage_chat_widget,auto_enrichment,higher_arpu,88,44,52,48,77,67.35,P2
C00067,chatbot_ux,assistive_ai,Chatbot Ux: Auto Enrichment for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using auto enrichment to higher arpu.,founder,homepage_chat_widget,auto_enrichment,higher_arpu,79,44,24,76,51,65.45,P3
C00068,chatbot_ux,analytics,Chatbot Ux: Scoring Rules for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using scoring rules to raise trial to paid.,founder,homepage_chat_widget,scoring_rules,raise_trial_to_paid,69,61,63,37,64,59.85,P3
C00069,chatbot_ux,optimization,Chatbot Ux: Scoring Rules for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using scoring rules to reduce cac.,founder,homepage_chat_widget,scoring_rules,reduce_cac,55,36,63,37,76,49.8,P3
C00070,chatbot_ux,assistive_ai,Chatbot Ux: Scoring Rules for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using scoring rules to reduce cac.,founder,homepage_chat_widget,scoring_rules,reduce_cac,82,72,55,45,87,72.85,P2
C00071,chatbot_ux,optimization,Chatbot Ux: Scoring Rules for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using scoring rules to improve ad ctr.,founder,homepage_chat_widget,scoring_rules,improve_ad_ctr,68,53,50,50,66,60.35,P3
C00072,chatbot_ux,qa_guardrail,Chatbot Ux: Scoring Rules for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using scoring rules to improve ad ctr.,founder,homepage_chat_widget,scoring_rules,improve_ad_ctr,44,64,62,38,68,51.4,P3
C00073,chatbot_ux,optimization,Chatbot Ux: Scoring Rules for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using scoring rules to increase pipeline velocity.,founder,homepage_chat_widget,scoring_rules,increase_pipeline_velocity,61,67,84,16,72,55.15,P3
C00074,chatbot_ux,assistive_ai,Chatbot Ux: Scoring Rules for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using scoring rules to increase pipeline velocity.,founder,homepage_chat_widget,scoring_rules,increase_pipeline_velocity,64,54,57,43,58,56.4,P3
C00075,chatbot_ux,feature,Chatbot Ux: Scoring Rules for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using scoring rules to reduce churn risk.,founder,homepage_chat_widget,scoring_rules,reduce_churn_risk,68,63,86,14,82,58.05,P3
C00076,chatbot_ux,governance,Chatbot Ux: Scoring Rules for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using scoring rules to reduce churn risk.,founder,homepage_chat_widget,scoring_rules,reduce_churn_risk,82,53,68,32,59,61.3,P3
C00077,chatbot_ux,qa_guardrail,Chatbot Ux: Scoring Rules for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using scoring rules to reduce churn risk.,founder,homepage_chat_widget,scoring_rules,reduce_churn_risk,74,67,47,53,94,71.05,P2
C00078,chatbot_ux,playbook,Chatbot Ux: Scoring Rules for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using scoring rules to improve data quality.,founder,homepage_chat_widget,scoring_rules,improve_data_quality,77,37,66,34,68,57.05,P3
C00079,chatbot_ux,workflow,Chatbot Ux: Scoring Rules for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using scoring rules to higher arpu.,founder,homepage_chat_widget,scoring_rules,higher_arpu,70,68,64,36,50,59.7,P3
C00080,chatbot_ux,analytics,Chatbot Ux: Scoring Rules for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using scoring rules to higher arpu.,founder,homepage_chat_widget,scoring_rules,higher_arpu,56,72,78,22,93,58.75,P3
C00081,chatbot_ux,qa_guardrail,Chatbot Ux: Scoring Rules for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using scoring rules to better upgrade conversion.,founder,homepage_chat_widget,scoring_rules,better_upgrade_conversion,92,35,70,30,51,59.2,P3
C00082,chatbot_ux,feature,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using channel orchestration to reduce cac.,founder,homepage_chat_widget,channel_orchestration,reduce_cac,89,65,41,59,94,77.75,P2
C00083,chatbot_ux,governance,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using channel orchestration to reduce cac.,founder,homepage_chat_widget,channel_orchestration,reduce_cac,78,37,62,38,64,57.65,P3
C00084,chatbot_ux,qa_guardrail,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using channel orchestration to reduce cac.,founder,homepage_chat_widget,channel_orchestration,reduce_cac,71,56,79,21,56,55.0,P3
C00085,chatbot_ux,feature,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a feature upgrade targeting founder on homepage chat widget using channel orchestration to improve ad ctr.,founder,homepage_chat_widget,channel_orchestration,improve_ad_ctr,74,86,46,54,74,73.0,P2
C00086,chatbot_ux,workflow,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using channel orchestration to increase pipeline velocity.,founder,homepage_chat_widget,channel_orchestration,increase_pipeline_velocity,72,53,68,32,73,59.4,P3
C00087,chatbot_ux,workflow,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a workflow upgrade targeting founder on homepage chat widget using channel orchestration to improve data quality.,founder,homepage_chat_widget,channel_orchestration,improve_data_quality,59,85,70,30,70,61.35,P3
C00088,chatbot_ux,analytics,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using channel orchestration to improve data quality.,founder,homepage_chat_widget,channel_orchestration,improve_data_quality,62,52,76,24,70,53.1,P3
C00089,chatbot_ux,governance,Chatbot Ux: Channel Orchestration for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using channel orchestration to faster experiment cycles.,founder,homepage_chat_widget,channel_orchestration,faster_experiment_cycles,76,60,67,33,71,62.65,P3
C00090,chatbot_ux,playbook,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using cohort breakdown to increase demo bookings.,founder,homepage_chat_widget,cohort_breakdown,increase_demo_bookings,79,60,70,30,79,64.45,P3
C00091,chatbot_ux,assistive_ai,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a assistive_ai upgrade targeting founder on homepage chat widget using cohort breakdown to increase demo bookings.,founder,homepage_chat_widget,cohort_breakdown,increase_demo_bookings,69,51,44,56,64,61.15,P3
C00092,chatbot_ux,playbook,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using cohort breakdown to improve mql to sql.,founder,homepage_chat_widget,cohort_breakdown,improve_mql_to_sql,58,73,57,43,89,63.4,P3
C00093,chatbot_ux,integration,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using cohort breakdown to reduce cac.,founder,homepage_chat_widget,cohort_breakdown,reduce_cac,97,62,35,65,68,77.5,P2
C00094,chatbot_ux,playbook,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a playbook upgrade targeting founder on homepage chat widget using cohort breakdown to improve ad ctr.,founder,homepage_chat_widget,cohort_breakdown,improve_ad_ctr,69,43,54,46,75,58.8,P3
C00095,chatbot_ux,analytics,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a analytics upgrade targeting founder on homepage chat widget using cohort breakdown to increase pipeline velocity.,founder,homepage_chat_widget,cohort_breakdown,increase_pipeline_velocity,64,52,47,53,92,63.0,P3
C00096,chatbot_ux,optimization,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using cohort breakdown to reduce churn risk.,founder,homepage_chat_widget,cohort_breakdown,reduce_churn_risk,68,51,52,48,82,61.85,P3
C00097,chatbot_ux,integration,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using cohort breakdown to faster experiment cycles.,founder,homepage_chat_widget,cohort_breakdown,faster_experiment_cycles,62,68,69,31,80,60.0,P3
C00098,chatbot_ux,governance,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using cohort breakdown to higher arpu.,founder,homepage_chat_widget,cohort_breakdown,higher_arpu,87,55,75,25,63,63.0,P3
C00099,chatbot_ux,qa_guardrail,Chatbot Ux: Cohort Breakdown for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using cohort breakdown to higher arpu.,founder,homepage_chat_widget,cohort_breakdown,higher_arpu,65,78,70,30,72,62.3,P3
C00100,chatbot_ux,qa_guardrail,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using anomaly alerting to increase demo bookings.,founder,homepage_chat_widget,anomaly_alerting,increase_demo_bookings,56,69,49,51,62,59.15,P3
C00101,chatbot_ux,automation,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using anomaly alerting to reduce cac.,founder,homepage_chat_widget,anomaly_alerting,reduce_cac,62,65,26,74,76,67.25,P2
C00102,chatbot_ux,automation,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a automation upgrade targeting founder on homepage chat widget using anomaly alerting to improve ad ctr.,founder,homepage_chat_widget,anomaly_alerting,improve_ad_ctr,72,54,74,26,79,59.35,P3
C00103,chatbot_ux,governance,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a governance upgrade targeting founder on homepage chat widget using anomaly alerting to improve ad ctr.,founder,homepage_chat_widget,anomaly_alerting,improve_ad_ctr,63,53,68,32,55,53.1,P3
C00104,chatbot_ux,qa_guardrail,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using anomaly alerting to improve ad ctr.,founder,homepage_chat_widget,anomaly_alerting,improve_ad_ctr,66,54,59,41,74,59.2,P3
C00105,chatbot_ux,integration,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a integration upgrade targeting founder on homepage chat widget using anomaly alerting to lower cpc.,founder,homepage_chat_widget,anomaly_alerting,lower_cpc,70,77,61,39,69,65.4,P3
C00106,chatbot_ux,optimization,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a optimization upgrade targeting founder on homepage chat widget using anomaly alerting to increase pipeline velocity.,founder,homepage_chat_widget,anomaly_alerting,increase_pipeline_velocity,55,71,66,34,88,59.75,P3
C00107,chatbot_ux,qa_guardrail,Chatbot Ux: Anomaly Alerting for homepage chat widget,Build a qa_guardrail upgrade targeting founder on homepage chat widget using anomaly alerting to increase pipeline velocity.,founder,homepage_chat_widget,anomaly_alerting,increase_pipeline_velocity,61,62,57,43,71,59.15,P3
